pdf_page	printed_page_guess	chars	words	status	method
1		197	30	thin	plain
2		664	94	ok	plain
3		3246	731	ok	plain
4		3307	679	ok	plain
5		3538	765	ok	plain
6		746	156	ok	plain
7		1874	280	ok	plain
8		4127	577	ok	plain
9		2586	365	ok	plain
10		2653	396	ok	plain
11		2259	360	ok	plain
12		2733	408	ok	plain
13		2498	366	ok	plain
14		879	155	ok	plain
15		2460	402	ok	plain
16		4007	549	ok	plain
17		3342	512	ok	plain
18		3702	548	ok	plain
19		4321	637	ok	plain
20		481	68	ok	plain
21		2727	398	ok	plain
22		1329	255	ok	plain
23		1861	310	ok	plain
24		2309	332	ok	plain
25		1490	233	ok	plain
26		2350	369	ok	plain
27		2402	374	ok	plain
28		1295	240	ok	plain
29		1268	218	ok	plain
30		855	132	ok	plain
31		1948	302	ok	plain
32		1999	287	ok	plain
33		2628	372	ok	plain
34		3723	522	ok	plain
35		2460	349	ok	plain
36		3564	499	ok	plain
37		2893	435	ok	plain
38		3439	521	ok	plain
39		1952	296	ok	plain
40		729	105	ok	plain
41		2172	340	ok	plain
42		1523	235	ok	plain
43		2467	362	ok	plain
44		1388	270	ok	plain
45		1529	246	ok	plain
46		2211	382	ok	plain
47		1696	258	ok	plain
48		1858	292	ok	plain
49		1223	190	ok	plain
50		2136	329	ok	plain
51		2283	360	ok	plain
52		1097	202	ok	plain
53		1616	289	ok	plain
54		2205	337	ok	plain
55		1628	302	ok	plain
56		1689	285	ok	plain
57		1210	210	ok	plain
58		3241	513	ok	plain
59		1961	301	ok	plain
60		2220	352	ok	plain
61		2975	448	ok	plain
62		2923	438	ok	plain
63		2970	462	ok	plain
64		2173	319	ok	plain
65		845	120	ok	plain
66		2356	350	ok	plain
67		1480	224	ok	plain
68		2978	432	ok	plain
69		1362	241	ok	plain
70		1959	294	ok	plain
71		830	185	ok	plain
72		1737	272	ok	plain
73		2262	369	ok	plain
74		1157	272	ok	plain
75		1131	205	ok	plain
76		2860	466	ok	plain
77		1529	261	ok	plain
78		2331	332	ok	plain
79		1623	268	ok	plain
80		2310	384	ok	plain
81		1320	229	ok	plain
82		2774	421	ok	plain
83		1952	341	ok	plain
84		1462	273	ok	plain
85		2552	392	ok	plain
86		1978	333	ok	plain
87		2508	394	ok	plain
88		973	191	ok	plain
89		2359	394	ok	plain
90		2804	450	ok	plain
91		2391	395	ok	plain
92		2053	312	ok	plain
93		1181	186	ok	plain
94		1756	283	ok	plain
95		1511	229	ok	plain
96		2070	326	ok	plain
97		2812	430	ok	plain
98		1007	178	ok	plain
99		2352	400	ok	plain
100		2482	412	ok	plain
101		574	103	ok	plain
102		2653	405	ok	plain
103		1891	327	ok	plain
104		3103	481	ok	plain
105		2204	359	ok	plain
106		1337	229	ok	plain
107		2843	452	ok	plain
108		3595	515	ok	plain
109		2481	373	ok	plain
110		2347	329	ok	plain
111		2538	386	ok	plain
112		2982	409	ok	plain
113		1782	246	ok	plain
114		1063	173	ok	plain
115		1987	290	ok	plain
116		1910	271	ok	plain
117		1577	255	ok	plain
118		3093	446	ok	plain
119		1972	301	ok	plain
120		1980	290	ok	plain
121		2860	395	ok	plain
122		805	130	ok	plain
123		3017	461	ok	plain
124		986	192	ok	plain
125		2411	384	ok	plain
126		1591	235	ok	plain
127		1824	247	ok	plain
128		614	88	ok	plain
129		764	127	ok	plain
130		2198	324	ok	plain
131		2382	350	ok	plain
132		1881	296	ok	plain
133		1408	226	ok	plain
134		2275	353	ok	plain
135		1836	306	ok	plain
136		2552	396	ok	plain
137		520	104	ok	plain
138		1803	273	ok	plain
139		1950	311	ok	plain
140		2038	312	ok	stretch
141		2704	386	ok	plain
142		2065	388	ok	plain
143		1464	231	ok	plain
144		1921	312	ok	plain
145		1123	217	ok	plain
146		2402	362	ok	plain
147		1542	277	ok	plain
148		3158	477	ok	plain
149		1822	324	ok	plain
150		1847	329	ok	plain
151		1560	278	ok	plain
152		2172	364	ok	plain
153		2571	355	ok	plain
154		2484	384	ok	plain
155		2255	325	ok	plain
156		2183	335	ok	plain
